id,source,referenceId,counterparty,amount,currency,date,description,type,category
B1-LDG-001,LEDGER,"SET1-PAY-2026-0801-2","Acme Corp",20935.50,INR,2026-03-04,"Accounts Receivable settlement - Acme Corp",CREDIT,"Accounts Receivable"
B1-LDG-002,LEDGER,"SET1-PAY-2026-0801-3","TechStart Inc",25641.00,INR,2026-03-07,"SaaS Revenue settlement - TechStart Inc",CREDIT,"SaaS Revenue"
B1-LDG-003,LEDGER,"SET1-PAY-2026-0801-4","GlobalTrade Ltd",30346.50,INR,2026-03-10,"Consulting settlement - GlobalTrade Ltd",CREDIT,"Consulting"
B1-LDG-004,LEDGER,"SET1-PAY-2026-0801-5","DataPipe Corp",35052.00,INR,2026-03-13,"License Revenue settlement - DataPipe Corp",CREDIT,"License Revenue"
B1-LDG-005,LEDGER,"SET1-PAY-2026-0801-1","QuantumLeap Systems",39757.50,INR,2026-03-16,"Enterprise Contract settlement - QuantumLeap Systems",CREDIT,"Enterprise Contract"
B1-LDG-006,LEDGER,"SET1-PAY-2026-0802-2","NexGen Solutions",44463.00,INR,2026-03-19,"Support Fees settlement - NexGen Solutions",CREDIT,"Support Fees"
B1-LDG-007,LEDGER,"SET1-PAY-2026-0802-3","ClearPath AG",45560.00,INR,2026-03-22,"Project Payment settlement - ClearPath AG",CREDIT,"Project Payment"
B1-LDG-008,LEDGER,"SET1-PAY-2026-0802-4","BlueSky Tech",50265.50,INR,2026-03-25,"Wire Transfer settlement - BlueSky Tech",CREDIT,"Wire Transfer"
B1-LDG-009,LEDGER,"SET1-PAY-2026-0802-5","Meridian Corp",54971.00,INR,2026-03-01,"Vendor Payment settlement - Meridian Corp",CREDIT,"Vendor Payment"
B1-LDG-010,LEDGER,"SET1-PAY-2026-0802-1","ZenFlow Inc",59676.50,INR,2026-03-04,"Services settlement - ZenFlow Inc",CREDIT,"Services"
B1-LDG-011,LEDGER,"SET1-PAY-2026-0803-2","Acme Corp",64382.00,INR,2026-03-07,"Accounts Receivable settlement - Acme Corp",CREDIT,"Accounts Receivable"
B1-LDG-012,LEDGER,"SET1-PAY-2026-0803-3","TechStart Inc",69087.50,INR,2026-03-10,"SaaS Revenue settlement - TechStart Inc",CREDIT,"SaaS Revenue"
B1-LDG-013,LEDGER,"SET1-PAY-2026-0803-4","GlobalTrade Ltd",73793.00,INR,2026-03-13,"Consulting settlement - GlobalTrade Ltd",CREDIT,"Consulting"
