id,source,referenceId,counterparty,amount,currency,date,description,type,category
B2-LDG-001,LEDGER,"SET2-PAY-2026-0801-2","Lumina Analytics",22165.50,INR,2026-06-04,"Accounts Receivable settlement - Lumina Analytics",CREDIT,"Accounts Receivable"
B2-LDG-002,LEDGER,"SET2-PAY-2026-0801-3","Beacon Ventures",26871.00,INR,2026-06-07,"SaaS Revenue settlement - Beacon Ventures",CREDIT,"SaaS Revenue"
B2-LDG-003,LEDGER,"SET2-PAY-2026-0801-4","Strata Peak",31576.50,INR,2026-06-10,"Consulting settlement - Strata Peak",CREDIT,"Consulting"
B2-LDG-004,LEDGER,"SET2-PAY-2026-0801-5","Prism Logic",36282.00,INR,2026-06-13,"License Revenue settlement - Prism Logic",CREDIT,"License Revenue"
B2-LDG-005,LEDGER,"SET2-PAY-2026-0801-1","OmniScale Inc",40987.50,INR,2026-06-16,"Enterprise Contract settlement - OmniScale Inc",CREDIT,"Enterprise Contract"
B2-LDG-006,LEDGER,"SET2-PAY-2026-0802-2","Vortex Digital",45693.00,INR,2026-06-19,"Support Fees settlement - Vortex Digital",CREDIT,"Support Fees"
B2-LDG-007,LEDGER,"SET2-PAY-2026-0802-3","Atlas Cloud",46790.00,INR,2026-06-22,"Project Payment settlement - Atlas Cloud",CREDIT,"Project Payment"
B2-LDG-008,LEDGER,"SET2-PAY-2026-0802-4","Helix Software",51495.50,INR,2026-06-25,"Wire Transfer settlement - Helix Software",CREDIT,"Wire Transfer"
B2-LDG-009,LEDGER,"SET2-PAY-2026-0802-5","Sierra Financial",56201.00,INR,2026-06-01,"Vendor Payment settlement - Sierra Financial",CREDIT,"Vendor Payment"
B2-LDG-010,LEDGER,"SET2-PAY-2026-0802-1","Synthetix AI",60906.50,INR,2026-06-04,"Services settlement - Synthetix AI",CREDIT,"Services"
B2-LDG-011,LEDGER,"SET2-PAY-2026-0803-2","Lumina Analytics",65612.00,INR,2026-06-07,"Accounts Receivable settlement - Lumina Analytics",CREDIT,"Accounts Receivable"
B2-LDG-012,LEDGER,"SET2-PAY-2026-0803-3","Beacon Ventures",70317.50,INR,2026-06-10,"SaaS Revenue settlement - Beacon Ventures",CREDIT,"SaaS Revenue"
B2-LDG-013,LEDGER,"SET2-PAY-2026-0803-4","Strata Peak",75023.00,INR,2026-06-13,"Consulting settlement - Strata Peak",CREDIT,"Consulting"
B2-LDG-014,LEDGER,"SET2-PAY-2026-0803-5","Prism Logic",76120.00,INR,2026-06-16,"License Revenue settlement - Prism Logic",CREDIT,"License Revenue"
B2-LDG-015,LEDGER,"SET2-PAY-2026-0803-1","OmniScale Inc",80825.50,INR,2026-06-19,"Enterprise Contract settlement - OmniScale Inc",CREDIT,"Enterprise Contract"
B2-LDG-016,LEDGER,"SET2-PAY-2026-0804-2","Vortex Digital",85531.00,INR,2026-06-22,"Support Fees settlement - Vortex Digital",CREDIT,"Support Fees"
B2-LDG-017,LEDGER,"SET2-PAY-2026-0804-3","Atlas Cloud",90236.50,INR,2026-06-25,"Project Payment settlement - Atlas Cloud",CREDIT,"Project Payment"
B2-LDG-018,LEDGER,"SET2-PAY-2026-0804-4","Helix Software",94942.00,INR,2026-06-01,"Wire Transfer settlement - Helix Software",DEBIT,"Wire Transfer"
B2-LDG-019,LEDGER,"SET2-PAY-2026-0804-5","Sierra Financial",99647.50,INR,2026-06-04,"Vendor Payment settlement - Sierra Financial",CREDIT,"Vendor Payment"
B2-LDG-020,LEDGER,"SET2-PAY-2026-0804-1","Synthetix AI",104353.00,INR,2026-06-07,"Services settlement - Synthetix AI",CREDIT,"Services"
B2-LDG-021,LEDGER,"SET2-PAY-2026-0805-2","Lumina Analytics",105450.00,INR,2026-06-10,"Accounts Receivable settlement - Lumina Analytics",CREDIT,"Accounts Receivable"
B2-LDG-022,LEDGER,"SET2-PAY-2026-0805-3","Beacon Ventures",110155.50,INR,2026-06-13,"SaaS Revenue settlement - Beacon Ventures",CREDIT,"SaaS Revenue"
B2-LDG-023,LEDGER,"SET2-PAY-2026-0805-4","Strata Peak",114861.00,INR,2026-06-16,"Consulting settlement - Strata Peak",CREDIT,"Consulting"
B2-LDG-024,LEDGER,"SET2-PAY-2026-0805-5","Prism Logic",119566.50,INR,2026-06-19,"License Revenue settlement - Prism Logic",CREDIT,"License Revenue"
B2-LDG-025,LEDGER,"SET2-PAY-2026-0805-1","OmniScale Inc",124272.00,INR,2026-06-22,"Enterprise Contract settlement - OmniScale Inc",CREDIT,"Enterprise Contract"
B2-LDG-026,LEDGER,"SET2-PAY-2026-0806-2","Vortex Digital",128977.50,INR,2026-06-25,"Support Fees settlement - Vortex Digital",CREDIT,"Support Fees"
B2-LDG-027,LEDGER,"SET2-PAY-2026-0806-3","Atlas Cloud",133683.00,INR,2026-06-01,"Project Payment settlement - Atlas Cloud",CREDIT,"Project Payment"
