id,source,referenceId,counterparty,amount,currency,date,description,type,category
B5-LDG-001,LEDGER,"SET5-PAY-2026-0801-2","ApexFintech Corp",25855.50,INR,2026-11-04,"Accounts Receivable settlement - ApexFintech Corp",CREDIT,"Accounts Receivable"
B5-LDG-002,LEDGER,"SET5-PAY-2026-0801-3","StripePay Ltd",30561.00,INR,2026-11-07,"SaaS Revenue settlement - StripePay Ltd",CREDIT,"SaaS Revenue"
B5-LDG-003,LEDGER,"SET5-PAY-2026-0801-4","Adyen Global",35266.50,INR,2026-11-10,"Consulting settlement - Adyen Global",CREDIT,"Consulting"
B5-LDG-004,LEDGER,"SET5-PAY-2026-0801-5","Oracle NetSuite",39972.00,INR,2026-11-13,"License Revenue settlement - Oracle NetSuite",CREDIT,"License Revenue"
B5-LDG-005,LEDGER,"SET5-PAY-2026-0801-1","SAP Cloud AG",44677.50,INR,2026-11-16,"Enterprise Contract settlement - SAP Cloud AG",CREDIT,"Enterprise Contract"
B5-LDG-006,LEDGER,"SET5-PAY-2026-0802-2","Square Point",49383.00,INR,2026-11-19,"Support Fees settlement - Square Point",CREDIT,"Support Fees"
B5-LDG-007,LEDGER,"SET5-PAY-2026-0802-3","Klarna Bank AB",50480.00,INR,2026-11-22,"Project Payment settlement - Klarna Bank AB",CREDIT,"Project Payment"
B5-LDG-008,LEDGER,"SET5-PAY-2026-0802-4","PayPal Merchant",55185.50,INR,2026-11-25,"Wire Transfer settlement - PayPal Merchant",CREDIT,"Wire Transfer"
B5-LDG-009,LEDGER,"SET5-PAY-2026-0802-5","Plaid Services",59891.00,INR,2026-11-01,"Vendor Payment settlement - Plaid Services",CREDIT,"Vendor Payment"
B5-LDG-010,LEDGER,"SET5-PAY-2026-0802-1","Brex Enterprise",64596.50,INR,2026-11-04,"Services settlement - Brex Enterprise",CREDIT,"Services"
B5-LDG-011,LEDGER,"SET5-PAY-2026-0803-2","ApexFintech Corp",69302.00,INR,2026-11-07,"Accounts Receivable settlement - ApexFintech Corp",CREDIT,"Accounts Receivable"
B5-LDG-012,LEDGER,"SET5-PAY-2026-0803-3","StripePay Ltd",74007.50,INR,2026-11-10,"SaaS Revenue settlement - StripePay Ltd",CREDIT,"SaaS Revenue"
B5-LDG-013,LEDGER,"SET5-PAY-2026-0803-4","Adyen Global",78713.00,INR,2026-11-13,"Consulting settlement - Adyen Global",CREDIT,"Consulting"
B5-LDG-014,LEDGER,"SET5-PAY-2026-0803-5","Oracle NetSuite",79810.00,INR,2026-11-16,"License Revenue settlement - Oracle NetSuite",CREDIT,"License Revenue"
B5-LDG-015,LEDGER,"SET5-PAY-2026-0803-1","SAP Cloud AG",84515.50,INR,2026-11-19,"Enterprise Contract settlement - SAP Cloud AG",CREDIT,"Enterprise Contract"
B5-LDG-016,LEDGER,"SET5-PAY-2026-0804-2","Square Point",89221.00,INR,2026-11-22,"Support Fees settlement - Square Point",CREDIT,"Support Fees"
B5-LDG-017,LEDGER,"SET5-PAY-2026-0804-3","Klarna Bank AB",93926.50,INR,2026-11-25,"Project Payment settlement - Klarna Bank AB",CREDIT,"Project Payment"
B5-LDG-018,LEDGER,"SET5-PAY-2026-0804-4","PayPal Merchant",98632.00,INR,2026-11-01,"Wire Transfer settlement - PayPal Merchant",DEBIT,"Wire Transfer"
B5-LDG-019,LEDGER,"SET5-PAY-2026-0804-5","Plaid Services",103337.50,INR,2026-11-04,"Vendor Payment settlement - Plaid Services",CREDIT,"Vendor Payment"
B5-LDG-020,LEDGER,"SET5-PAY-2026-0804-1","Brex Enterprise",108043.00,INR,2026-11-07,"Services settlement - Brex Enterprise",CREDIT,"Services"
B5-LDG-021,LEDGER,"SET5-PAY-2026-0805-2","ApexFintech Corp",109140.00,INR,2026-11-10,"Accounts Receivable settlement - ApexFintech Corp",CREDIT,"Accounts Receivable"
B5-LDG-022,LEDGER,"SET5-PAY-2026-0805-3","StripePay Ltd",113845.50,INR,2026-11-13,"SaaS Revenue settlement - StripePay Ltd",CREDIT,"SaaS Revenue"
B5-LDG-023,LEDGER,"SET5-PAY-2026-0805-4","Adyen Global",118551.00,INR,2026-11-16,"Consulting settlement - Adyen Global",CREDIT,"Consulting"
B5-LDG-024,LEDGER,"SET5-PAY-2026-0805-5","Oracle NetSuite",123256.50,INR,2026-11-19,"License Revenue settlement - Oracle NetSuite",CREDIT,"License Revenue"
B5-LDG-025,LEDGER,"SET5-PAY-2026-0805-1","SAP Cloud AG",127962.00,INR,2026-11-22,"Enterprise Contract settlement - SAP Cloud AG",CREDIT,"Enterprise Contract"
B5-LDG-026,LEDGER,"SET5-PAY-2026-0806-2","Square Point",132667.50,INR,2026-11-25,"Support Fees settlement - Square Point",CREDIT,"Support Fees"
B5-LDG-027,LEDGER,"SET5-PAY-2026-0806-3","Klarna Bank AB",137373.00,INR,2026-11-01,"Project Payment settlement - Klarna Bank AB",CREDIT,"Project Payment"
B5-LDG-028,LEDGER,"SET5-PAY-2026-0806-4","PayPal Merchant",138470.00,INR,2026-11-04,"Wire Transfer settlement - PayPal Merchant",CREDIT,"Wire Transfer"
B5-LDG-029,LEDGER,"SET5-PAY-2026-0806-5","Plaid Services",143175.50,INR,2026-11-07,"Vendor Payment settlement - Plaid Services",CREDIT,"Vendor Payment"
B5-LDG-030,LEDGER,"SET5-PAY-2026-0806-1","Brex Enterprise",147881.00,INR,2026-11-10,"Services settlement - Brex Enterprise",CREDIT,"Services"
B5-LDG-031,LEDGER,"SET5-PAY-2026-0807-2","ApexFintech Corp",152586.50,INR,2026-11-13,"Accounts Receivable settlement - ApexFintech Corp",CREDIT,"Accounts Receivable"
B5-LDG-032,LEDGER,"SET5-PAY-2026-0807-3","StripePay Ltd",157292.00,INR,2026-11-16,"SaaS Revenue settlement - StripePay Ltd",CREDIT,"SaaS Revenue"
B5-LDG-033,LEDGER,"SET5-PAY-2026-0807-4","Adyen Global",161997.50,INR,2026-11-19,"Consulting settlement - Adyen Global",CREDIT,"Consulting"
B5-LDG-034,LEDGER,"SET5-PAY-2026-0807-5","Oracle NetSuite",166703.00,INR,2026-11-22,"License Revenue settlement - Oracle NetSuite",CREDIT,"License Revenue"
B5-LDG-035,LEDGER,"SET5-PAY-2026-0807-1","SAP Cloud AG",167800.00,INR,2026-11-25,"Enterprise Contract settlement - SAP Cloud AG",CREDIT,"Enterprise Contract"
B5-LDG-036,LEDGER,"SET5-PAY-2026-0808-2","Square Point",172505.50,INR,2026-11-01,"Support Fees settlement - Square Point",DEBIT,"Support Fees"
B5-LDG-037,LEDGER,"SET5-PAY-2026-0808-3","Klarna Bank AB",177211.00,INR,2026-11-04,"Project Payment settlement - Klarna Bank AB",CREDIT,"Project Payment"
B5-LDG-038,LEDGER,"SET5-PAY-2026-0808-4","PayPal Merchant",181916.50,INR,2026-11-07,"Wire Transfer settlement - PayPal Merchant",CREDIT,"Wire Transfer"
B5-LDG-039,LEDGER,"SET5-PAY-2026-0808-5","Plaid Services",186622.00,INR,2026-11-10,"Vendor Payment settlement - Plaid Services",CREDIT,"Vendor Payment"
B5-LDG-040,LEDGER,"SET5-PAY-2026-0808-1","Brex Enterprise",191327.50,INR,2026-11-13,"Services settlement - Brex Enterprise",CREDIT,"Services"
B5-LDG-041,LEDGER,"SET5-PAY-2026-0809-2","ApexFintech Corp",196033.00,INR,2026-11-16,"Accounts Receivable settlement - ApexFintech Corp",CREDIT,"Accounts Receivable"
B5-LDG-042,LEDGER,"SET5-PAY-2026-0809-3","StripePay Ltd",197130.00,INR,2026-11-19,"SaaS Revenue settlement - StripePay Ltd",CREDIT,"SaaS Revenue"
B5-LDG-043,LEDGER,"SET5-PAY-2026-0809-4","Adyen Global",201835.50,INR,2026-11-22,"Consulting settlement - Adyen Global",CREDIT,"Consulting"
B5-LDG-044,LEDGER,"SET5-PAY-2026-0809-5","Oracle NetSuite",206541.00,INR,2026-11-25,"License Revenue settlement - Oracle NetSuite",CREDIT,"License Revenue"
B5-LDG-045,LEDGER,"SET5-PAY-2026-0809-1","SAP Cloud AG",211246.50,INR,2026-11-01,"Enterprise Contract settlement - SAP Cloud AG",CREDIT,"Enterprise Contract"
